,Year,Month,Day,lat,lon,GHI,DHI,DNI,Energy Gen (watt hr),Wind Speed,Temperature,Solar Zenith Angle,Pressure,Relative Humidity
0,2020,5,1,32.855817,-116.952878,325.0833333333333,55.666666666666664,398.25,1611,2.3958333333333335,20.162499999999998,79.01958333333334,998.3333333333334,63.931250000000006
1,2020,5,2,32.855817,-116.952878,342.3333333333333,51.625,423.2916666666667,1840,2.5833333333333335,19.758333333333336,78.81541666666669,1000.375,64.34041666666664
2,2020,5,3,32.855817,-116.952878,342.7083333333333,53.458333333333336,419.7916666666667,1820,2.5916666666666663,19.287499999999998,78.61583333333334,1000.9583333333334,66.84333333333335
3,2020,5,4,32.855817,-116.952878,348.625,52.666666666666664,428.9583333333333,1849,1.5208333333333333,22.099999999999998,78.42,999.875,53.77583333333332
4,2020,5,5,32.855817,-116.952878,348.9583333333333,52.958333333333336,430.5416666666667,1822,1.4875000000000005,25.558333333333334,78.2275,999.5833333333334,42.43291666666667
5,2020,5,6,32.855817,-116.952878,352.4583333333333,54.291666666666664,441.25,1815,1.4333333333333336,26.129166666666666,78.03875000000001,998.25,40.41833333333333
6,2020,5,7,32.855817,-116.952878,352.5833333333333,52.5,439.6666666666667,1828,1.341666666666667,25.141666666666662,77.85166666666665,996.875,44.82916666666666
7,2020,5,8,32.855817,-116.952878,343.375,55.541666666666664,419.7083333333333,1830,1.3333333333333333,23.937500000000004,77.66875,997.4583333333334,47.85958333333334
8,2020,5,9,32.855817,-116.952878,304.375,71.625,312.2916666666667,1580,1.0541666666666667,22.47083333333333,77.48916666666666,998.2083333333334,60.93874999999999
9,2020,5,10,32.855817,-116.952878,238.875,74.29166666666667,259.7916666666667,1145,2.566666666666667,20.370833333333334,77.31375000000001,998.7916666666666,66.91541666666667
10,2020,5,11,32.855817,-116.952878,339.375,61.666666666666664,400.3333333333333,1767,3.5625000000000004,18.42083333333333,77.14083333333335,999.5833333333334,64.47249999999998
11,2020,5,12,32.855817,-116.952878,328.9166666666667,63.125,379.4583333333333,1736,4.095833333333334,17.779166666666665,76.97291666666666,1000.125,68.78583333333331
12,2020,5,13,32.855817,-116.952878,306.4583333333333,84.08333333333333,327.4583333333333,1565,4.000000000000001,17.354166666666664,76.80958333333334,999.7916666666666,67.28208333333333
13,2020,5,14,32.855817,-116.952878,346.1666666666667,52.75,421.6666666666667,1817,3.2874999999999996,18.558333333333337,76.64916666666666,999.7083333333334,69.47500000000001
14,2020,5,15,32.855817,-116.952878,346.4583333333333,51.833333333333336,422.2083333333333,1795,2.6125000000000003,20.158333333333335,76.49208333333331,997.5416666666666,66.41208333333333
15,2020,5,16,32.855817,-116.952878,345.125,56.958333333333336,412.4583333333333,1833,1.6208333333333333,22.245833333333334,76.34083333333334,995.9583333333334,60.936249999999994
16,2020,5,17,32.855817,-116.952878,319.9583333333333,66.91666666666667,369.7083333333333,1585,2.4250000000000003,20.329166666666662,76.19041666666665,997.375,66.88125000000001
17,2020,5,18,32.855817,-116.952878,288.1666666666667,75.125,326.7083333333333,1585,4.1499999999999995,18.93333333333333,76.04666666666668,998.6666666666666,73.81791666666668
18,2020,5,19,32.855817,-116.952878,357.4166666666667,55.666666666666664,432.875,1848,4.3875,16.500000000000004,75.90499999999999,1000.4583333333334,64.66458333333333
19,2020,5,20,32.855817,-116.952878,359.0,53.875,432.0416666666667,1938,2.8875000000000006,18.533333333333335,75.76791666666666,1000.5,60.26916666666668
20,2020,5,21,32.855817,-116.952878,344.1666666666667,79.16666666666667,372.2083333333333,1900,1.491666666666667,21.366666666666664,75.63666666666667,998.0,55.12499999999999
21,2020,5,22,32.855817,-116.952878,357.2083333333333,59.875,426.5833333333333,1793,2.295833333333333,19.229166666666668,75.5075,997.0833333333334,61.428333333333335
22,2020,5,23,32.855817,-116.952878,349.4166666666667,63.208333333333336,402.6666666666667,1890,2.7916666666666674,18.75,75.38250000000001,997.2916666666666,63.846666666666664
23,2020,5,24,32.855817,-116.952878,354.5833333333333,58.708333333333336,416.5416666666667,1874,1.3875000000000002,21.729166666666668,75.26208333333334,997.5416666666666,52.31708333333335
24,2020,5,25,32.855817,-116.952878,354.2083333333333,56.375,421.5,1742,1.4708333333333334,24.6875,75.14583333333333,997.25,47.451249999999995
25,2020,5,26,32.855817,-116.952878,352.625,57.625,420.125,1825,1.4208333333333334,26.129166666666666,75.03375000000001,997.3333333333334,44.15208333333334
26,2020,5,27,32.855817,-116.952878,356.75,51.958333333333336,434.7916666666667,1833,1.804166666666667,25.85416666666666,74.92583333333333,997.9583333333334,44.79916666666668
27,2020,5,28,32.855817,-116.952878,353.2083333333333,57.833333333333336,420.5833333333333,1821,1.941666666666667,23.979166666666668,74.82291666666664,998.7916666666666,53.353333333333325
28,2020,5,29,32.855817,-116.952878,270.625,114.33333333333333,232.20833333333334,1371,2.6249999999999996,20.25,74.72333333333334,999.5833333333334,65.34374999999999
29,2020,5,30,32.855817,-116.952878,331.0,84.20833333333333,364.25,1726,3.8166666666666664,19.358333333333338,74.62875,999.0,62.19708333333333
30,2020,5,31,32.855817,-116.952878,338.6666666666667,70.375,369.5416666666667,1837,2.845833333333333,20.8625,74.53833333333334,998.0,60.84708333333333
